20
Alpha | Phero | Elite | Gen   | Length
  0.4 |     2 |     3   | 4 |       27
  0.4 |     2 |     3   | 5 |       25
  0.4 |     2 |     3   | 6 |       38
  0.4 |     2 |     3   | 7 |       22
  0.4 |     2 |     3   | 8 |       21
  0.4 |     2 |     3   | 9 |       30
  0.4 |     2 |     4   | 1 |       22
  0.4 |     2 |     4   | 2 |       36
  0.4 |     2 |     4   | 3 |       30
  0.4 |     2 |     4   | 4 |       34
  0.4 |     2 |     4   | 5 |       42
  0.4 |     2 |     4   | 6 |       22
  0.4 |     2 |     4   | 7 |       38
  0.4 |     2 |     4   | 8 |       27
  0.4 |     2 |     4   | 9 |       31
  0.6 |     0 |     0   | 1 |       21
  0.6 |     0 |     0   | 2 |       27
  0.6 |     0 |     0   | 3 |       23
  0.6 |     0 |     0   | 4 |       38
  0.6 |     0 |     0   | 5 |       31
  0.6 |     0 |     0   | 6 |       29
  0.6 |     0 |     0   | 7 |       28
  0.6 |     0 |     0   | 8 |       23
  0.6 |     0 |     0   | 9 |       27
  0.6 |     0 |     1   | 1 |       29
  0.6 |     0 |     1   | 2 |       16
  0.6 |     0 |     1   | 3 |       28
  0.6 |     0 |     1   | 4 |       25
  0.6 |     0 |     1   | 5 |       26
  0.6 |     0 |     1   | 6 |       18
  0.6 |     0 |     1   | 7 |       30
  0.6 |     0 |     1   | 8 |       23
  0.6 |     0 |     1   | 9 |       35
  0.6 |     0 |     2   | 1 |       16
  0.6 |     0 |     2   | 2 |       38
  0.6 |     0 |     2   | 3 |       24
  0.6 |     0 |     2   | 4 |       13
  0.6 |     0 |     2   | 5 |       31
  0.6 |     0 |     2   | 6 |       26
  0.6 |     0 |     2   | 7 |       17
  0.6 |     0 |     2   | 8 |       28
  0.6 |     0 |     2   | 9 |       27
  0.6 |     0 |     3   | 1 |       36
  0.6 |     0 |     3   | 2 |       27
  0.6 |     0 |     3   | 3 |       20
  0.6 |     0 |     3   | 4 |       18
  0.6 |     0 |     3   | 5 |       25
  0.6 |     0 |     3   | 6 |       29
  0.6 |     0 |     3   | 7 |       29
  0.6 |     0 |     3   | 8 |       30
  0.6 |     0 |     3   | 9 |       34
  0.6 |     0 |     4   | 1 |       23
  0.6 |     0 |     4   | 2 |       34
  0.6 |     0 |     4   | 3 |       15
  0.6 |     0 |     4   | 4 |       33
  0.6 |     0 |     4   | 5 |       39
  0.6 |     0 |     4   | 6 |       37
  0.6 |     0 |     4   | 7 |       26
  0.6 |     0 |     4   | 8 |       22
  0.6 |     0 |     4   | 9 |       41
  0.6 |   0.5 |     0   | 1 |       21
  0.6 |   0.5 |     0   | 2 |       38
  0.6 |   0.5 |     0   | 3 |       37
  0.6 |   0.5 |     0   | 4 |       29
  0.6 |   0.5 |     0   | 5 |       32
  0.6 |   0.5 |     0   | 6 |       30
  0.6 |   0.5 |     0   | 7 |       23
  0.6 |   0.5 |     0   | 8 |       31
  0.6 |   0.5 |     0   | 9 |       18
  0.6 |   0.5 |     1   | 1 |       11
  0.6 |   0.5 |     1   | 2 |       24
  0.6 |   0.5 |     1   | 3 |       20
  0.6 |   0.5 |     1   | 4 |       19
  0.6 |   0.5 |     1   | 5 |       18
  0.6 |   0.5 |     1   | 6 |       20
  0.6 |   0.5 |     1   | 7 |       34
  0.6 |   0.5 |     1   | 8 |       25
  0.6 |   0.5 |     1   | 9 |       21
  0.6 |   0.5 |     2   | 1 |       21
  0.6 |   0.5 |     2   | 2 |       15
  0.6 |   0.5 |     2   | 3 |       32
  0.6 |   0.5 |     2   | 4 |       18
  0.6 |   0.5 |     2   | 5 |       25
  0.6 |   0.5 |     2   | 6 |       27
  0.6 |   0.5 |     2   | 7 |       16
  0.6 |   0.5 |     2   | 8 |       35
  0.6 |   0.5 |     2   | 9 |       29
  0.6 |   0.5 |     3   | 1 |       31
  0.6 |   0.5 |     3   | 2 |       23
  0.6 |   0.5 |     3   | 3 |       34
  0.6 |   0.5 |     3   | 4 |       35
  0.6 |   0.5 |     3   | 5 |       17
  0.6 |   0.5 |     3   | 6 |       20
  0.6 |   0.5 |     3   | 7 |       30
  0.6 |   0.5 |     3   | 8 |       16
  0.6 |   0.5 |     3   | 9 |       24
  0.6 |   0.5 |     4   | 1 |       27
  0.6 |   0.5 |     4   | 2 |       33
  0.6 |   0.5 |     4   | 3 |       32
  0.6 |   0.5 |     4   | 4 |       34
  0.6 |   0.5 |     4   | 5 |       25
  0.6 |   0.5 |     4   | 6 |       24
  0.6 |   0.5 |     4   | 7 |       15
  0.6 |   0.5 |     4   | 8 |       35
  0.6 |   0.5 |     4   | 9 |       20
  0.6 |     1 |     0   | 1 |       35
  0.6 |     1 |     0   | 2 |       26
  0.6 |     1 |     0   | 3 |       30
  0.6 |     1 |     0   | 4 |       18
  0.6 |     1 |     0   | 5 |       34
  0.6 |     1 |     0   | 6 |       21
  0.6 |     1 |     0   | 7 |       38
  0.6 |     1 |     0   | 8 |       15
  0.6 |     1 |     0   | 9 |       22
  0.6 |     1 |     1   | 1 |       28
  0.6 |     1 |     1   | 2 |       29
  0.6 |     1 |     1   | 3 |       35
  0.6 |     1 |     1   | 4 |       29
  0.6 |     1 |     1   | 5 |       13
  0.6 |     1 |     1   | 6 |       22
  0.6 |     1 |     1   | 7 |       25
  0.6 |     1 |     1   | 8 |       29
  0.6 |     1 |     1   | 9 |       21
  0.6 |     1 |     2   | 1 |       25
  0.6 |     1 |     2   | 2 |       32
  0.6 |     1 |     2   | 3 |       25
  0.6 |     1 |     2   | 4 |       38
  0.6 |     1 |     2   | 5 |       29
  0.6 |     1 |     2   | 6 |       25
  0.6 |     1 |     2   | 7 |       29
  0.6 |     1 |     2   | 8 |       33
  0.6 |     1 |     2   | 9 |       26
  0.6 |     1 |     3   | 1 |       26
  0.6 |     1 |     3   | 2 |       35
  0.6 |     1 |     3   | 3 |       28
  0.6 |     1 |     3   | 4 |       33
  0.6 |     1 |     3   | 5 |       26
  0.6 |     1 |     3   | 6 |       23
  0.6 |     1 |     3   | 7 |       20
  0.6 |     1 |     3   | 8 |       34
  0.6 |     1 |     3   | 9 |       29
  0.6 |     1 |     4   | 1 |       22
  0.6 |     1 |     4   | 2 |       49
  0.6 |     1 |     4   | 3 |       27
  0.6 |     1 |     4   | 4 |       21
  0.6 |     1 |     4   | 5 |       26
  0.6 |     1 |     4   | 6 |       34
  0.6 |     1 |     4   | 7 |       17
  0.6 |     1 |     4   | 8 |       30
  0.6 |     1 |     4   | 9 |       31
  0.6 |   1.5 |     0   | 1 |       22
  0.6 |   1.5 |     0   | 2 |       26
  0.6 |   1.5 |     0   | 3 |       26
  0.6 |   1.5 |     0   | 4 |       26
  0.6 |   1.5 |     0   | 5 |       18
  0.6 |   1.5 |     0   | 6 |       27
  0.6 |   1.5 |     0   | 7 |       30
  0.6 |   1.5 |     0   | 8 |       27
  0.6 |   1.5 |     0   | 9 |       27
  0.6 |   1.5 |     1   | 1 |       19
  0.6 |   1.5 |     1   | 2 |       25
  0.6 |   1.5 |     1   | 3 |       16
  0.6 |   1.5 |     1   | 4 |       28
  0.6 |   1.5 |     1   | 5 |       26
  0.6 |   1.5 |     1   | 6 |       20
  0.6 |   1.5 |     1   | 7 |       20
  0.6 |   1.5 |     1   | 8 |       28
  0.6 |   1.5 |     1   | 9 |       30
  0.6 |   1.5 |     2   | 1 |       21
  0.6 |   1.5 |     2   | 2 |       21
  0.6 |   1.5 |     2   | 3 |       21
  0.6 |   1.5 |     2   | 4 |       29
  0.6 |   1.5 |     2   | 5 |       18
  0.6 |   1.5 |     2   | 6 |       31
  0.6 |   1.5 |     2   | 7 |       30
  0.6 |   1.5 |     2   | 8 |       25
  0.6 |   1.5 |     2   | 9 |       17
  0.6 |   1.5 |     3   | 1 |       34
  0.6 |   1.5 |     3   | 2 |       25
  0.6 |   1.5 |     3   | 3 |       12
  0.6 |   1.5 |     3   | 4 |       17
  0.6 |   1.5 |     3   | 5 |       24
  0.6 |   1.5 |     3   | 6 |       34
  0.6 |   1.5 |     3   | 7 |       31
  0.6 |   1.5 |     3   | 8 |       19
  0.6 |   1.5 |     3   | 9 |       18
  0.6 |   1.5 |     4   | 1 |       28
  0.6 |   1.5 |     4   | 2 |       22
  0.6 |   1.5 |     4   | 3 |       19
  0.6 |   1.5 |     4   | 4 |       30
  0.6 |   1.5 |     4   | 5 |       40
  0.6 |   1.5 |     4   | 6 |       25
  0.6 |   1.5 |     4   | 7 |       22
  0.6 |   1.5 |     4   | 8 |       27
  0.6 |   1.5 |     4   | 9 |       28
  0.6 |     2 |     0   | 1 |       26
  0.6 |     2 |     0   | 2 |       24
  0.6 |     2 |     0   | 3 |       30
  0.6 |     2 |     0   | 4 |       37
  0.6 |     2 |     0   | 5 |       25
  0.6 |     2 |     0   | 6 |       26
  0.6 |     2 |     0   | 7 |       19
  0.6 |     2 |     0   | 8 |       14
  0.6 |     2 |     0   | 9 |       32
  0.6 |     2 |     1   | 1 |       23
  0.6 |     2 |     1   | 2 |       21
  0.6 |     2 |     1   | 3 |       21
  0.6 |     2 |     1   | 4 |       31
  0.6 |     2 |     1   | 5 |       25
  0.6 |     2 |     1   | 6 |       37
  0.6 |     2 |     1   | 7 |       21
  0.6 |     2 |     1   | 8 |       25
  0.6 |     2 |     1   | 9 |       30
  0.6 |     2 |     2   | 1 |       20
  0.6 |     2 |     2   | 2 |       23
  0.6 |     2 |     2   | 3 |       26
  0.6 |     2 |     2   | 4 |       20
  0.6 |     2 |     2   | 5 |       31
  0.6 |     2 |     2   | 6 |       23
  0.6 |     2 |     2   | 7 |       42
  0.6 |     2 |     2   | 8 |       27
  0.6 |     2 |     2   | 9 |       34
  0.6 |     2 |     3   | 1 |       26
  0.6 |     2 |     3   | 2 |       23
  0.6 |     2 |     3   | 3 |       21
  0.6 |     2 |     3   | 4 |       33
  0.6 |     2 |     3   | 5 |       33
  0.6 |     2 |     3   | 6 |       34
  0.6 |     2 |     3   | 7 |       31
  0.6 |     2 |     3   | 8 |       23
  0.6 |     2 |     3   | 9 |       21
  0.6 |     2 |     4   | 1 |       40
  0.6 |     2 |     4   | 2 |       31
  0.6 |     2 |     4   | 3 |       20
  0.6 |     2 |     4   | 4 |       27
  0.6 |     2 |     4   | 5 |       42
  0.6 |     2 |     4   | 6 |       25
  0.6 |     2 |     4   | 7 |       28
  0.6 |     2 |     4   | 8 |       18
  0.6 |     2 |     4   | 9 |       13
  0.8 |     0 |     0   | 1 |       28
  0.8 |     0 |     0   | 2 |       28
  0.8 |     0 |     0   | 3 |       25
  0.8 |     0 |     0   | 4 |       21
  0.8 |     0 |     0   | 5 |       24
  0.8 |     0 |     0   | 6 |       29
  0.8 |     0 |     0   | 7 |       26
  0.8 |     0 |     0   | 8 |       51
  0.8 |     0 |     0   | 9 |       23
  0.8 |     0 |     1   | 1 |       22
  0.8 |     0 |     1   | 2 |       29
  0.8 |     0 |     1   | 3 |       21
  0.8 |     0 |     1   | 4 |       38
  0.8 |     0 |     1   | 5 |       30
  0.8 |     0 |     1   | 6 |       25
  0.8 |     0 |     1   | 7 |       32
  0.8 |     0 |     1   | 8 |       26
  0.8 |     0 |     1   | 9 |       28
  0.8 |     0 |     2   | 1 |       30
  0.8 |     0 |     2   | 2 |       26
  0.8 |     0 |     2   | 3 |       27
  0.8 |     0 |     2   | 4 |       24
  0.8 |     0 |     2   | 5 |       25
  0.8 |     0 |     2   | 6 |       21
  0.8 |     0 |     2   | 7 |       27
  0.8 |     0 |     2   | 8 |       28
  0.8 |     0 |     2   | 9 |       19
  0.8 |     0 |     3   | 1 |       22
  0.8 |     0 |     3   | 2 |       24
  0.8 |     0 |     3   | 3 |       42
  0.8 |     0 |     3   | 4 |       21
  0.8 |     0 |     3   | 5 |       24
  0.8 |     0 |     3   | 6 |       22
  0.8 |     0 |     3   | 7 |       22
  0.8 |     0 |     3   | 8 |       23
  0.8 |     0 |     3   | 9 |       30
  0.8 |     0 |     4   | 1 |       23
  0.8 |     0 |     4   | 2 |       32
  0.8 |     0 |     4   | 3 |       22
  0.8 |     0 |     4   | 4 |       28
  0.8 |     0 |     4   | 5 |       33
  0.8 |     0 |     4   | 6 |       28
  0.8 |     0 |     4   | 7 |       19
  0.8 |     0 |     4   | 8 |       22
  0.8 |     0 |     4   | 9 |       30
  0.8 |   0.5 |     0   | 1 |       24
  0.8 |   0.5 |     0   | 2 |       33
  0.8 |   0.5 |     0   | 3 |       25
  0.8 |   0.5 |     0   | 4 |       24
  0.8 |   0.5 |     0   | 5 |       18
  0.8 |   0.5 |     0   | 6 |       28
  0.8 |   0.5 |     0   | 7 |       37
  0.8 |   0.5 |     0   | 8 |       24
  0.8 |   0.5 |     0   | 9 |       19
  0.8 |   0.5 |     1   | 1 |       38
  0.8 |   0.5 |     1   | 2 |       14
  0.8 |   0.5 |     1   | 3 |       14
  0.8 |   0.5 |     1   | 4 |       15
  0.8 |   0.5 |     1   | 5 |       34
  0.8 |   0.5 |     1   | 6 |       13
  0.8 |   0.5 |     1   | 7 |       29
  0.8 |   0.5 |     1   | 8 |       18
  0.8 |   0.5 |     1   | 9 |       30
  0.8 |   0.5 |     2   | 1 |       42
  0.8 |   0.5 |     2   | 2 |       21
  0.8 |   0.5 |     2   | 3 |       21
  0.8 |   0.5 |     2   | 4 |       37
  0.8 |   0.5 |     2   | 5 |       25
  0.8 |   0.5 |     2   | 6 |       26
  0.8 |   0.5 |     2   | 7 |       35
  0.8 |   0.5 |     2   | 8 |       34
  0.8 |   0.5 |     2   | 9 |       30
  0.8 |   0.5 |     3   | 1 |       16
  0.8 |   0.5 |     3   | 2 |       44
  0.8 |   0.5 |     3   | 3 |       19
  0.8 |   0.5 |     3   | 4 |       30
  0.8 |   0.5 |     3   | 5 |       31
  0.8 |   0.5 |     3   | 6 |       32
  0.8 |   0.5 |     3   | 7 |       17
  0.8 |   0.5 |     3   | 8 |       31
  0.8 |   0.5 |     3   | 9 |       24
  0.8 |   0.5 |     4   | 1 |       25
  0.8 |   0.5 |     4   | 2 |       31
  0.8 |   0.5 |     4   | 3 |       30
  0.8 |   0.5 |     4   | 4 |       35
  0.8 |   0.5 |     4   | 5 |       27
  0.8 |   0.5 |     4   | 6 |       20
  0.8 |   0.5 |     4   | 7 |       22
  0.8 |   0.5 |     4   | 8 |       21
  0.8 |   0.5 |     4   | 9 |       40
  0.8 |     1 |     0   | 1 |       19
  0.8 |     1 |     0   | 2 |       18
  0.8 |     1 |     0   | 3 |       24
  0.8 |     1 |     0   | 4 |       16
  0.8 |     1 |     0   | 5 |       17
  0.8 |     1 |     0   | 6 |       39
  0.8 |     1 |     0   | 7 |       23
  0.8 |     1 |     0   | 8 |       32
  0.8 |     1 |     0   | 9 |       30
  0.8 |     1 |     1   | 1 |       11
  0.8 |     1 |     1   | 2 |       19
  0.8 |     1 |     1   | 3 |       22
  0.8 |     1 |     1   | 4 |       33
  0.8 |     1 |     1   | 5 |       24
  0.8 |     1 |     1   | 6 |       27
  0.8 |     1 |     1   | 7 |       23
  0.8 |     1 |     1   | 8 |       29
  0.8 |     1 |     1   | 9 |       20
  0.8 |     1 |     2   | 1 |       35
  0.8 |     1 |     2   | 2 |       30
  0.8 |     1 |     2   | 3 |       36
  0.8 |     1 |     2   | 4 |       17
  0.8 |     1 |     2   | 5 |       37
  0.8 |     1 |     2   | 6 |       23
  0.8 |     1 |     2   | 7 |       19
  0.8 |     1 |     2   | 8 |       26
  0.8 |     1 |     2   | 9 |       24
  0.8 |     1 |     3   | 1 |       26
  0.8 |     1 |     3   | 2 |       25
  0.8 |     1 |     3   | 3 |       28
  0.8 |     1 |     3   | 4 |       25
  0.8 |     1 |     3   | 5 |       19
  0.8 |     1 |     3   | 6 |       17
  0.8 |     1 |     3   | 7 |       13
  0.8 |     1 |     3   | 8 |       21
  0.8 |     1 |     3   | 9 |       30
  0.8 |     1 |     4   | 1 |       30
  0.8 |     1 |     4   | 2 |       19
  0.8 |     1 |     4   | 3 |       24
  0.8 |     1 |     4   | 4 |       26
  0.8 |     1 |     4   | 5 |       30
  0.8 |     1 |     4   | 6 |       26
  0.8 |     1 |     4   | 7 |       29
  0.8 |     1 |     4   | 8 |       16
  0.8 |     1 |     4   | 9 |       34
  0.8 |   1.5 |     0   | 1 |       33
  0.8 |   1.5 |     0   | 2 |       23
  0.8 |   1.5 |     0   | 3 |       19
  0.8 |   1.5 |     0   | 4 |       31
  0.8 |   1.5 |     0   | 5 |       10
  0.8 |   1.5 |     0   | 6 |       28
  0.8 |   1.5 |     0   | 7 |       33
  0.8 |   1.5 |     0   | 8 |       41
  0.8 |   1.5 |     0   | 9 |       21
  0.8 |   1.5 |     1   | 1 |       25
  0.8 |   1.5 |     1   | 2 |       25
  0.8 |   1.5 |     1   | 3 |       22
  0.8 |   1.5 |     1   | 4 |       27
  0.8 |   1.5 |     1   | 5 |       29
  0.8 |   1.5 |     1   | 6 |       24
  0.8 |   1.5 |     1   | 7 |       23
  0.8 |   1.5 |     1   | 8 |       30
  0.8 |   1.5 |     1   | 9 |       26
  0.8 |   1.5 |     2   | 1 |       22
  0.8 |   1.5 |     2   | 2 |       19
  0.8 |   1.5 |     2   | 3 |       34
  0.8 |   1.5 |     2   | 4 |       17
  0.8 |   1.5 |     2   | 5 |       24
  0.8 |   1.5 |     2   | 6 |       17
  0.8 |   1.5 |     2   | 7 |       26
  0.8 |   1.5 |     2   | 8 |       26
  0.8 |   1.5 |     2   | 9 |       30
  0.8 |   1.5 |     3   | 1 |       20
  0.8 |   1.5 |     3   | 2 |       18
  0.8 |   1.5 |     3   | 3 |       19
  0.8 |   1.5 |     3   | 4 |       31
  0.8 |   1.5 |     3   | 5 |       26
  0.8 |   1.5 |     3   | 6 |       27
  0.8 |   1.5 |     3   | 7 |       29
  0.8 |   1.5 |     3   | 8 |       42
  0.8 |   1.5 |     3   | 9 |       23
  0.8 |   1.5 |     4   | 1 |       39
  0.8 |   1.5 |     4   | 2 |       31
  0.8 |   1.5 |     4   | 3 |       26
  0.8 |   1.5 |     4   | 4 |       23
  0.8 |   1.5 |     4   | 5 |       26
  0.8 |   1.5 |     4   | 6 |       25
  0.8 |   1.5 |     4   | 7 |       26
  0.8 |   1.5 |     4   | 8 |       28
  0.8 |   1.5 |     4   | 9 |       27
  0.8 |     2 |     0   | 1 |       27
  0.8 |     2 |     0   | 2 |       25
  0.8 |     2 |     0   | 3 |       28
  0.8 |     2 |     0   | 4 |       39
  0.8 |     2 |     0   | 5 |       31
  0.8 |     2 |     0   | 6 |       25
  0.8 |     2 |     0   | 7 |       33
  0.8 |     2 |     0   | 8 |       16
  0.8 |     2 |     0   | 9 |       22
  0.8 |     2 |     1   | 1 |       20
  0.8 |     2 |     1   | 2 |       39
  0.8 |     2 |     1   | 3 |       23
  0.8 |     2 |     1   | 4 |       32
  0.8 |     2 |     1   | 5 |       25
  0.8 |     2 |     1   | 6 |       23
  0.8 |     2 |     1   | 7 |       24
  0.8 |     2 |     1   | 8 |       22
  0.8 |     2 |     1   | 9 |       29
  0.8 |     2 |     2   | 1 |       31
  0.8 |     2 |     2   | 2 |       33
  0.8 |     2 |     2   | 3 |       42
  0.8 |     2 |     2   | 4 |       27
  0.8 |     2 |     2   | 5 |       22
  0.8 |     2 |     2   | 6 |       17
  0.8 |     2 |     2   | 7 |       18
  0.8 |     2 |     2   | 8 |       34
  0.8 |     2 |     2   | 9 |       17
  0.8 |     2 |     3   | 1 |       35
  0.8 |     2 |     3   | 2 |       21
  0.8 |     2 |     3   | 3 |       23
  0.8 |     2 |     3   | 4 |       24
  0.8 |     2 |     3   | 5 |       22
  0.8 |     2 |     3   | 6 |       28
  0.8 |     2 |     3   | 7 |       32
  0.8 |     2 |     3   | 8 |       25
  0.8 |     2 |     3   | 9 |       23
  0.8 |     2 |     4   | 1 |       12
  0.8 |     2 |     4   | 2 |       20
  0.8 |     2 |     4   | 3 |       25
  0.8 |     2 |     4   | 4 |       13
  0.8 |     2 |     4   | 5 |       30
  0.8 |     2 |     4   | 6 |       24
  0.8 |     2 |     4   | 7 |       26
  0.8 |     2 |     4   | 8 |       26
  0.8 |     2 |     4   | 9 |       25
    1 |     0 |     0   | 1 |       45
    1 |     0 |     0   | 2 |       31
    1 |     0 |     0   | 3 |       38
    1 |     0 |     0   | 4 |       34
    1 |     0 |     0   | 5 |       30
    1 |     0 |     0   | 6 |       37
    1 |     0 |     0   | 7 |       43
    1 |     0 |     0   | 8 |       42
    1 |     0 |     0   | 9 |       31
    1 |     0 |     1   | 1 |       26
    1 |     0 |     1   | 2 |       42
    1 |     0 |     1   | 3 |       48
    1 |     0 |     1   | 4 |       31
    1 |     0 |     1   | 5 |       49
    1 |     0 |     1   | 6 |       42
    1 |     0 |     1   | 7 |       54
    1 |     0 |     1   | 8 |       40
    1 |     0 |     1   | 9 |       36
    1 |     0 |     2   | 1 |       33
    1 |     0 |     2   | 2 |       35
    1 |     0 |     2   | 3 |       40
    1 |     0 |     2   | 4 |       37
    1 |     0 |     2   | 5 |       28
    1 |     0 |     2   | 6 |       31
    1 |     0 |     2   | 7 |       46
    1 |     0 |     2   | 8 |       26
    1 |     0 |     2   | 9 |       43
    1 |     0 |     3   | 1 |       45
    1 |     0 |     3   | 2 |       40
    1 |     0 |     3   | 3 |       37
    1 |     0 |     3   | 4 |       30
    1 |     0 |     3   | 5 |       27
    1 |     0 |     3   | 6 |       36
    1 |     0 |     3   | 7 |       33
    1 |     0 |     3   | 8 |       43
    1 |     0 |     3   | 9 |       42
    1 |     0 |     4   | 1 |       47
    1 |     0 |     4   | 2 |       35
    1 |     0 |     4   | 3 |       32
    1 |     0 |     4   | 4 |       31
    1 |     0 |     4   | 5 |       32
    1 |     0 |     4   | 6 |       40
    1 |     0 |     4   | 7 |       34
    1 |     0 |     4   | 8 |       33
    1 |     0 |     4   | 9 |       36
    1 |   0.5 |     0   | 1 |       21
    1 |   0.5 |     0   | 2 |       47
    1 |   0.5 |     0   | 3 |       42
    1 |   0.5 |     0   | 4 |       41
    1 |   0.5 |     0   | 5 |       33
    1 |   0.5 |     0   | 6 |       49
    1 |   0.5 |     0   | 7 |       38
    1 |   0.5 |     0   | 8 |       33
    1 |   0.5 |     0   | 9 |       40
    1 |   0.5 |     1   | 1 |       33
    1 |   0.5 |     1   | 2 |       34
    1 |   0.5 |     1   | 3 |       35
    1 |   0.5 |     1   | 4 |       35
    1 |   0.5 |     1   | 5 |       41
    1 |   0.5 |     1   | 6 |       42
    1 |   0.5 |     1   | 7 |       39
    1 |   0.5 |     1   | 8 |       51
    1 |   0.5 |     1   | 9 |       34
    1 |   0.5 |     2   | 1 |       36
    1 |   0.5 |     2   | 2 |       41
    1 |   0.5 |     2   | 3 |       37
    1 |   0.5 |     2   | 4 |       32
    1 |   0.5 |     2   | 5 |       29
    1 |   0.5 |     2   | 6 |       38
    1 |   0.5 |     2   | 7 |       27
    1 |   0.5 |     2   | 8 |       32
    1 |   0.5 |     2   | 9 |       32
    1 |   0.5 |     3   | 1 |       38
    1 |   0.5 |     3   | 2 |       48
    1 |   0.5 |     3   | 3 |       38
    1 |   0.5 |     3   | 4 |       46
    1 |   0.5 |     3   | 5 |       40
    1 |   0.5 |     3   | 6 |       39
    1 |   0.5 |     3   | 7 |       36
    1 |   0.5 |     3   | 8 |       38
    1 |   0.5 |     3   | 9 |       41
    1 |   0.5 |     4   | 1 |       42
    1 |   0.5 |     4   | 2 |       39
    1 |   0.5 |     4   | 3 |       37
    1 |   0.5 |     4   | 4 |       47
    1 |   0.5 |     4   | 5 |       34
    1 |   0.5 |     4   | 6 |       30
    1 |   0.5 |     4   | 7 |       29
    1 |   0.5 |     4   | 8 |       33
    1 |   0.5 |     4   | 9 |       31
    1 |     1 |     0   | 1 |       47
    1 |     1 |     0   | 2 |       32
    1 |     1 |     0   | 3 |       35
    1 |     1 |     0   | 4 |       23
    1 |     1 |     0   | 5 |       34
    1 |     1 |     0   | 6 |       40
    1 |     1 |     0   | 7 |       41
    1 |     1 |     0   | 8 |       37
    1 |     1 |     0   | 9 |       30
    1 |     1 |     1   | 1 |       38
    1 |     1 |     1   | 2 |       40
    1 |     1 |     1   | 3 |       29
    1 |     1 |     1   | 4 |       32
    1 |     1 |     1   | 5 |       45
    1 |     1 |     1   | 6 |       43
    1 |     1 |     1   | 7 |       42
    1 |     1 |     1   | 8 |       37
    1 |     1 |     1   | 9 |       34
    1 |     1 |     2   | 1 |       44
    1 |     1 |     2   | 2 |       40
    1 |     1 |     2   | 3 |       37
    1 |     1 |     2   | 4 |       43
    1 |     1 |     2   | 5 |       39
    1 |     1 |     2   | 6 |       37
    1 |     1 |     2   | 7 |       43
    1 |     1 |     2   | 8 |       37
    1 |     1 |     2   | 9 |       31
    1 |     1 |     3   | 1 |       28
    1 |     1 |     3   | 2 |       39
    1 |     1 |     3   | 3 |       40
    1 |     1 |     3   | 4 |       35
    1 |     1 |     3   | 5 |       47
    1 |     1 |     3   | 6 |       41
    1 |     1 |     3   | 7 |       46
    1 |     1 |     3   | 8 |       30
    1 |     1 |     3   | 9 |       39
    1 |     1 |     4   | 1 |       40
    1 |     1 |     4   | 2 |       53
    1 |     1 |     4   | 3 |       41
    1 |     1 |     4   | 4 |       36
    1 |     1 |     4   | 5 |       20
    1 |     1 |     4   | 6 |       40
    1 |     1 |     4   | 7 |       39
    1 |     1 |     4   | 8 |       18
    1 |     1 |     4   | 9 |       36
    1 |   1.5 |     0   | 1 |       33
    1 |   1.5 |     0   | 2 |       42
    1 |   1.5 |     0   | 3 |       33
    1 |   1.5 |     0   | 4 |       38
    1 |   1.5 |     0   | 5 |       39
    1 |   1.5 |     0   | 6 |       45
    1 |   1.5 |     0   | 7 |       28
    1 |   1.5 |     0   | 8 |       31
    1 |   1.5 |     0   | 9 |       34
    1 |   1.5 |     1   | 1 |       45
    1 |   1.5 |     1   | 2 |       48
    1 |   1.5 |     1   | 3 |       37
    1 |   1.5 |     1   | 4 |       44
    1 |   1.5 |     1   | 5 |       37
    1 |   1.5 |     1   | 6 |       53
    1 |   1.5 |     1   | 7 |       23
    1 |   1.5 |     1   | 8 |       35
    1 |   1.5 |     1   | 9 |       41
    1 |   1.5 |     2   | 1 |       47
    1 |   1.5 |     2   | 2 |       31
    1 |   1.5 |     2   | 3 |       33
    1 |   1.5 |     2   | 4 |       29
    1 |   1.5 |     2   | 5 |       46
    1 |   1.5 |     2   | 6 |       39
    1 |   1.5 |     2   | 7 |       44
    1 |   1.5 |     2   | 8 |       46
    1 |   1.5 |     2   | 9 |       39
    1 |   1.5 |     3   | 1 |       30
    1 |   1.5 |     3   | 2 |       28
    1 |   1.5 |     3   | 3 |       33
    1 |   1.5 |     3   | 4 |       42
    1 |   1.5 |     3   | 5 |       32
    1 |   1.5 |     3   | 6 |       37
    1 |   1.5 |     3   | 7 |       34
    1 |   1.5 |     3   | 8 |       46
    1 |   1.5 |     3   | 9 |       20
    1 |   1.5 |     4   | 1 |       33
    1 |   1.5 |     4   | 2 |       49
    1 |   1.5 |     4   | 3 |       42
    1 |   1.5 |     4   | 4 |       35
    1 |   1.5 |     4   | 5 |       27
    1 |   1.5 |     4   | 6 |       42
    1 |   1.5 |     4   | 7 |       41
    1 |   1.5 |     4   | 8 |       41
    1 |   1.5 |     4   | 9 |       32
    1 |     2 |     0   | 1 |       40
    1 |     2 |     0   | 2 |       37
    1 |     2 |     0   | 3 |       43
    1 |     2 |     0   | 4 |       46
    1 |     2 |     0   | 5 |       31
    1 |     2 |     0   | 6 |       29
    1 |     2 |     0   | 7 |       26
    1 |     2 |     0   | 8 |       33
    1 |     2 |     0   | 9 |       39
    1 |     2 |     1   | 1 |       38
    1 |     2 |     1   | 2 |       29
    1 |     2 |     1   | 3 |       39
    1 |     2 |     1   | 4 |       48
